Zone,State,City,Name,Type,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Image URL,Destination,Mode of Transportation,Total Budget,Number of People Traveling
Central,Uttar Pradesh,Mathura,Krishna Janmabhoomi,Temple,1.0,4.7,1.0,Yes,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/90/3e/20/img-20160817-122832-largejpg.jpg?w=1200&h=1200&s=1,,,,
Northern,Jammu and Kashmir,Jammu,Vaishno Devi,Temple,5.0,4.7,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/c/c8/Vaishno_devi.jpg,,,,
Northern,Ladakh,Leh,Thiksey Monastery,Monastery,1.5,4.7,21.0,Yes,https://upload.wikimedia.org/wikipedia/commons/e/e5/Thikse_Monastery_.jpg,,,,
Northern,Ladakh,Diskit,Diskit Monastery,Monastery,1.0,4.7,21.0,No,https://upload.wikimedia.org/wikipedia/commons/1/16/Diskit_Gompa_2.jpg,,,,
Northern,Ladakh,Leh,Thiksey Monastery,Monastery,1.5,4.7,31.0,Yes,https://upload.wikimedia.org/wikipedia/commons/e/e5/Thikse_Monastery_.jpg,,,,
Eastern,West Bengal,Bolpur,Kankalitala Temple,Temple,0.5,4.7,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/4/4e/Kankalitala_Temple_complex%2C_Birbhum%2C_West_Bengal_05.jpg,,,,
Eastern,Odisha,Puri,Jagannath Temple,Temple,2.0,4.7,1.0,Yes,http://pujacraft.com/cdn/shop/articles/PTI04_24_2021_000120A_1619272465136_1641572422757.webp?v=1686066690,,,,
Eastern,Odisha,Konark,Sun Temple,Temple,1.5,4.7,41.0,Yes,https://upload.wikimedia.org/wikipedia/commons/4/47/Konarka_Temple.jpg,,,,
Southern,Tamil Nadu,Madurai,Meenakshi Amman Temple,Temple,2.0,4.7,1.0,Yes,https://lookaside.instagram.com/seo/google_widget/crawler/?media_id=3539467584758186787,,,,
Southern,Tamil Nadu,Coimbatore,Marudamalai Temple,Temple,1.0,4.7,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/4/46/Maruthamalai_Rajagopuram_1.jpg,,,,
Southern,Tamil Nadu,Chidambaram,Nataraja Temple,Temple,1.0,4.7,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/4/44/Le_temple_de_Shiva_Nataraja_%28Chidambaram%2C_Inde%29_%2814037020332%29.jpg,,,,
Southern,Andhra Pradesh,Vijayawada,Kanaka Durga Temple,Temple,1.0,4.7,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/b/ba/Kanakadurga_Temple_gopuram.jpg,,,,
Southern,Andhra Pradesh,Srisailam,Mallikarjuna Swamy Temple,Temple,1.0,4.7,1.0,No,https://upload.wikimedia.org/wikipedia/commons/c/c0/Srisailam.jpg,,,,
Southern,Andhra Pradesh,Amravati,Amaravathi Temple,Temple,1.0,4.7,1.0,Yes,https://s7ap1.scene7.com/is/image/incredibleindia/amaralingeshwara-temple-amaravati-andhra-pradesh-1-attr-hero?qlt=82&ts=1726743722820,,,,
Southern,Andhra Pradesh,Puttaparthi,Prasanthi Nilayam,Spiritual Center,1.0,4.7,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/d/da/Sri_Sathya_Sai_Baba_Mahasamadhi_at_Sai_Kulwant_Hall.jpg,,,,
Southern,Andhra Pradesh,Vizianagaram,Simhachalam Temple,Temple,1.0,4.7,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/1/18/Simhachalam_temple_from_a_hilltop.jpg,,,,
Eastern,Sikkim,Namchi,Char Dham,Religious Complex,2.0,4.7,51.0,Yes,https://www.dealswithai.com/assets/images/2024-05-29-02-01-11-Chardham-Yatra.jpg,,,,
North Eastern,Assam,Sivasagar,Sivasagar Sivadol,Temple,1.0,4.7,1.0,No,https://upload.wikimedia.org/wikipedia/commons/7/79/Siva_Dol.JPG,,,,
North Eastern,Assam,Majuli,Majuli Island,River Island,2.0,4.7,1.0,No,https://upload.wikimedia.org/wikipedia/commons/c/cb/Doriya_River_of_Majuli.jpg,,,,
North Eastern,Arunachal Pradesh,Tawang,Tawang Monastery,Monastery,2.0,4.7,1.0,No,https://upload.wikimedia.org/wikipedia/commons/2/2a/Tawang_Monastery_%28Tibetan_Buddhist%29.jpg,,,,
Southern,Andaman and Nicobar Islands,Port Blair,Cellular Jail,Landmark,1.5,4.7,31.0,Yes,https://upload.wikimedia.org/wikipedia/commons/f/fe/Front_View_of_Cellular_Jail%2C_Port_Blair.JPG,,,,
Eastern,Jharkhand,Deoghar,Baba Baidyanath Temple,Temple,1.0,4.7,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/e/e2/Baba_Dham.jpg,,,,
Eastern,Bihar,Bodh Gaya,Mahabodhi Temple,Temple,1.5,4.7,1.0,Yes,https://whc.unesco.org/uploads/thumbs/site_1056_0001-750-750-20120601152647.jpg,,,,
Eastern,Bihar,Patna,Takhat Shri Harimandir Ji Patna Sahib,Gurudwara,1.0,4.7,1.0,Yes,https://tourism.bihar.gov.in/content/dam/bihar-tourism/images/category_a/patna/takht_sri_harmandir_sahib/20.%20Takhat-Sri-Harimandir-Ji.jpg/jcr:content/renditions/cq5dam.web.480.480.jpeg,,,,
Northern,Haryana,Gurugram,DLF CyberHub,Commercial Complex,2.0,4.7,1.0,Yes,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/b8/e2/a4/photo5jpg.jpg?w=1200&h=-1&s=1,,,,
Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,1.5,4.7,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Ramanathaswamy_temple7.JPG/1200px-Ramanathaswamy_temple7.JPG,,,,
Northern,Delhi,Delhi,India Gate,War Memorial,0.5,4.6,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/India_Gate_on_the_evening_of_77th_Independence_day.jpg/640px-India_Gate_on_the_evening_of_77th_Independence_day.jpg,,,,
Northern,Delhi,Delhi,Akshardham Temple,Temple,5.0,4.6,61.0,Yes,https://i0.wp.com/singhruby.com/wp-content/uploads/2016/01/akshardham_facts_and_figure_banner.jpg,,,,
Northern,Delhi,Delhi,Sunder Nursery,Park,2.0,4.6,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Sunder_Nursery_Sep-2019.jpg/1200px-Sunder_Nursery_Sep-2019.jpg,,,,
Western,Maharastra,Mumbai,Gateway of India,Monument,1.0,4.6,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Mumbai_03-2016_30_Gateway_of_India.jpg/800px-Mumbai_03-2016_30_Gateway_of_India.jpg,,,,
Western,Maharastra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,1.0,4.6,511.0,Yes,https://upload.wikimedia.org/wikipedia/commons/7/79/Chhatrapati_Shivaji_Maharaj_Vastu_Sangrahalaya.jpg,,,,
Southern,Karnataka,Bangalore,Vidhana Soudha,Government Building,0.5,4.6,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/1/11/Vidhana_Soudha%2C_14_February_2022_-_cropped.jpg,,,,
Southern,Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,1.0,4.6,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/1/11/ISKCON_Banglaore_Temple.jpg,,,,
Eastern,West Bengal,Kolkata,Victoria Memorial,Museum,1.5,4.6,31.0,Yes,https://upload.wikimedia.org/wikipedia/commons/7/72/Victoria_Memorial_situated_in_Kolkata.jpg,,,,
Eastern,West Bengal,Kolkata,Howrah Bridge,Bridge,0.5,4.6,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Howrah_bridge_at_night.jpg/1200px-Howrah_bridge_at_night.jpg,,,,
Eastern,West Bengal,Kolkata,Indian Museum,Museum,2.0,4.6,51.0,Yes,https://upload.wikimedia.org/wikipedia/commons/8/8c/Indian_Museum%2C_Courtyard%2C_Kolkata%2C_India.jpg,,,,
Southern,Goa,Goa,Dudhsagar Falls,Waterfall,3.0,4.6,511.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Doodhsagar_Fall.jpg/1200px-Doodhsagar_Fall.jpg,,,,
Southern,Goa,Goa,Arambol Beach,Beach,2.0,4.6,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/a/ab/Arambol_2022-01-04-2.jpg,,,,
Southern,Goa,Goa,Palolem Beach,Beach,2.0,4.6,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/9/9c/Palolem_Beach%2C_South_Goa.jpg,,,,
Western,Gujarat,Ahmedabad,Sabarmati Ashram,Historical,1.5,4.6,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/9/9a/GANDHI_ASHRAM_03.jpg,,,,
Western,Gujarat,Bhuj,White Desert,Site,2.5,4.6,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/4/4a/Al_Farafrah%2C_New_Valley_Governorate%2C_Egypt_-_panoramio_%2821%29.jpg,,,,
Western,Gujarat,Kevadia,Statue of Unity,Monument,3.0,4.6,351.0,No,https://upload.wikimedia.org/wikipedia/commons/0/07/Statue_of_Unity.jpg,,,,
Western,Gujarat,Ahmedabad,Sabarmati Riverfront,Urban Development Project,1.0,4.6,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/d/d0/Sabarmati_1_Madhur.jpg,,,,
Northern,Rajasthan,Sawai Madhopur,Ranthambore National Park,Wildlife Sanctuary,3.0,4.6,511.0,No,https://www.tripsavvy.com/thmb/dV7zQhV4qJ_mPL8AmzjenGByzk8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/tres-bengala-tigres-en-frente-de-turista-de-520373860-735d4cd8c3b147d98cce1f158d0eefab.jpg,,,,
Northern,Rajasthan,Ajmer,Ajmer Sharif Dargah,Shrine,1.0,4.6,1.0,Yes,https://d2dzi65yjecjnt.cloudfront.net/405980.jpg,,,,
Northern,Rajasthan,Jodhpur,Mehrangarh Fort,Fort,2.0,4.6,111.0,Yes,https://cdn.britannica.com/39/242539-050-97AFAE4E/Mehrangarh-fortress-Jodhpur-Rajasthan-India.jpg,,,,
Northern,Rajasthan,Chittorgarh,Chittorgarh Fort,Fort,2.0,4.6,41.0,No,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Chittorgarh_fort.JPG/1200px-Chittorgarh_fort.JPG,,,,
Northern,Rajasthan,Mount Abu,Dilwara Temples,Temple,1.0,4.6,1.0,No,https://upload.wikimedia.org/wikipedia/commons/8/81/Delwada.jpg,,,,
Northern,Rajasthan,Jaipur,Amber Fort,Fort,2.0,4.6,111.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/20191219_Fort_Amber%2C_Amer%2C_Jaipur_0955_9481.jpg/800px-20191219_Fort_Amber%2C_Amer%2C_Jaipur_0955_9481.jpg,,,,
Northern,Rajasthan,Udaipur,Lake Pichola,Lake,1.0,4.6,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/d/d2/Udaipur_Lake_India.JPG,,,,
Southern,Kerala,Varkala,Varkala Beach,Beach,2.0,4.6,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/e/e0/Varkala_beach_from_above.jpg,,,,
Southern,Kerala,Kochi,Wonderla Amusement Park,Amusement Park,5.5,4.6,751.0,Yes,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/b4/a3/72/flash-tower-is-a-shoot.jpg?w=1200&h=1200&s=1,,,,
Southern,Karnataka,Mysore,Mysore Palace,Palace,2.0,4.6,51.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Mysore_Palace_Morning.jpg/1200px-Mysore_Palace_Morning.jpg,,,,
Southern,Karnataka,Badami,Badami Cave Temples,Cave,1.5,4.6,31.0,No,https://upload.wikimedia.org/wikipedia/commons/7/7b/Vishnu_image_inside_cave_number_3_in_Badami.jpg,,,,
Southern,Karnataka,Shivamogga,Jog Falls,Waterfall,1.5,4.6,31.0,No,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Jog_Falls_05092016.jpg/1200px-Jog_Falls_05092016.jpg,,,,
Western,Maharastra,Aurangabad,Ajanta Caves,Cave,3.0,4.6,31.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Ajanta_%2863%29.jpg/300px-Ajanta_%2863%29.jpg,,,,
Western,Maharashtra,Tarkarli,Tarkarli Beach,Beach,2.0,4.6,1.0,No,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/19/79/56/tarkarli-beach.jpg?w=1200&h=1200&s=1,,,,
Central,Madhya Pradesh,Pachmarhi,Bee Falls,Waterfall,1.5,4.6,15.0,No,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/33/53/06/photo0jpg.jpg?w=900&h=500&s=1,,,,
Central,Madhya Pradesh,Bhimbetka,Bhimbetka Rock Shelters,Prehistoric Site,2.0,4.6,25.0,No,https://upload.wikimedia.org/wikipedia/commons/9/91/Rock_Shelter_8%2C_Bhimbetka_02.jpg,,,,
Northern,Himachal Pradesh,Palampur,Tea Gardens,Tea Plantation,1.5,4.6,1.0,Yes,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/e9/52/a2/sunset-at-tata-tea-gardens.jpg?w=1200&h=-1&s=1,,,,
Northern,Himachal Pradesh,Mandi,Prashar Lake,Lake,1.5,4.6,1.0,No,https://upload.wikimedia.org/wikipedia/commons/7/75/Prashar_Lake_and_temple_%2CMandi_%2CHimachal_Pardesh.jpg,,,,
Northern,Himachal Pradesh,Manikaran,Manikaran Sahib,Gurudwara,1.0,4.6,1.0,No,https://upload.wikimedia.org/wikipedia/commons/c/c7/Outer_view_of_the_temple%27s_hot_water_well_and_the_parvati_river_flowing_by_it.jpg,,,,
Central,Uttar Pradesh,Agra,Taj Mahal,Mausoleum,2.0,4.6,51.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Taj_Mahal_%28Edited%29.jpeg/640px-Taj_Mahal_%28Edited%29.jpeg,,,,
Central,Uttar Pradesh,Sarnath,Dhamek Stupa,Monument,1.0,4.6,5.0,Yes,https://upload.wikimedia.org/wikipedia/commons/0/02/Dhamek_Stupa%2C_Sarnath.jpg,,,,
Northern,Jammu and Kashmir,Srinagar,Dal Lake,Lake,2.0,4.6,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Dal_Lake_Hazratbal_Srinagar.jpg/800px-Dal_Lake_Hazratbal_Srinagar.jpg,,,,
Northern,Jammu and Kashmir,Pahalgam,Betaab Valley,Valley,2.0,4.6,111.0,No,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/71/3f/53/betaab-valley.jpg?w=1200&h=1200&s=1,,,,
Eastern,West Bengal,Hooghly,Hangseswari Temple,Temple,0.5,4.6,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/0/07/Hanseswari_Mandir.jpg,,,,
Eastern,Odisha,Bhubaneswar,Lingaraj Temple,Temple,1.0,4.6,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/8/83/LINGARAJ_TEMPLE_AMLAN_BISWAL_2024.jpg,,,,
Eastern,Odisha,Berhampur,Tara Tarini Temple,Temple,1.0,4.6,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/b/bb/Taratarini_maa.jpg,,,,
Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,1.5,4.6,1.0,No,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Ramanathaswamy_temple7.JPG/1200px-Ramanathaswamy_temple7.JPG,,,,
Southern,Tamil Nadu,Kanyakumari,Vivekananda Rock Memorial,Memorial,1.0,4.6,21.0,Yes,https://upload.wikimedia.org/wikipedia/commons/b/b6/RockMemorial.jpg,,,,
Southern,Tamil Nadu,Mahabalipuram,Shore Temple,Temple,1.0,4.6,41.0,Yes,https://upload.wikimedia.org/wikipedia/commons/7/74/Shore_Temple_-Mamallapuram_-Tamil_Nadu_-N-TN-C55.jpg,,,,
Southern,Tamil Nadu,Tirunelveli,Nellaiappar Temple,Temple,1.0,4.6,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/b/b8/Tirnelveli_Gandhimathiamman_Temple_Tower.JPG,,,,
